,cbSize,cioengine,ciodepth,crw,cnproc,cdevice,cdirect,cmemlim,cmemlim_bytes,readBW_bytes,readBW,writeBW_bytes,writeBW,avgreadlat_ns,avgreadlat,avgwritelat_ns,avgwritelat,USR_UTIL_perc,SYS_UTIL_perc,IOW_UTIL_perc,IDL_UTIL_perc,CPU_UTIL_perc
27,4096,mmap,1,randread,64,zram,1,64M,67108864,9046797885,8.4 GB,0,0.0 B,13362.385913,13.4 µs,0.0,0.0 ns,3.75,41.2667,0.0,54.9833,45.0167
28,4096,mmap,1,randrw,64,ssd,0,128M,134217728,1251635744,1.2 GB,1251076643,1.2 GB,92926.076363,92.9 µs,92405.196221,92.4 µs,1.28538,9.17385,37.15,52.3885,47.6115
29,4096,mmap,1,randrw,64,zram,0,128M,134217728,4949224405,4.6 GB,4947013603,4.6 GB,12382.994679,12.4 µs,11318.265627,11.3 µs,3.535,39.385,0.0,57.08,42.92
30,4096,mmap,1,randrw,64,ssd,1,128M,134217728,757926390,722.8 MB,757587827,722.5 MB,145277.320006,145.3 µs,173987.697001,174.0 µs,0.905455,6.97591,39.6291,52.485,47.515
31,4096,mmap,1,randrw,64,zram,1,128M,134217728,1010093295,963.3 MB,1009642089,962.9 MB,9126.45635,9.1 µs,109173.204563,109.2 µs,0.93125,48.2244,0.01875,50.8231,49.1769
32,4096,mmap,1,randrw,64,ssd,0,16M,16777216,1214482093,1.1 GB,1213939588,1.1 GB,95795.592048,95.8 µs,95462.437273,95.5 µs,1.26231,9.79462,36.4015,52.5338,47.4662
33,4096,mmap,1,randrw,64,zram,0,16M,16777216,4809321896,4.5 GB,4807173588,4.5 GB,12544.077495,12.5 µs,11301.69672,11.3 µs,3.76667,41.3533,0.0,54.8733,45.1267
34,4096,mmap,1,randrw,64,ssd,1,16M,16777216,767232537,731.7 MB,766889817,731.4 MB,142880.217443,142.9 µs,171791.165358,171.8 µs,0.967727,7.01864,39.7118,52.2995,47.7005
35,4096,mmap,1,randrw,64,zram,1,16M,16777216,1172149190,1.1 GB,1171625595,1.1 GB,8385.822752,8.4 µs,95963.117077,96.0 µs,1.05571,46.3343,0.0614286,52.5386,47.4614
36,4096,mmap,1,randrw,64,ssd,0,1G,1073741824,1006425391,959.8 MB,1005975824,959.4 MB,116321.621357,116.3 µs,115882.52686,115.9 µs,1.11,8.09188,38.0794,52.7163,47.2837
37,4096,mmap,1,randrw,64,zram,0,1G,1073741824,4620518186,4.3 GB,4618454216,4.3 GB,13446.806033,13.4 µs,12317.340647,12.3 µs,4.02667,41.1933,0.0,54.78,45.22
38,4096,mmap,1,randrw,64,ssd,1,1G,1073741824,765796476,730.3 MB,765454397,730.0 MB,142968.248089,143.0 µs,171909.598106,171.9 µs,1.06143,7.27143,37.9386,53.7224,46.2776
39,4096,mmap,1,randrw,64,zram,1,1G,1073741824,1084487670,1.0 GB,1084003233,1.0 GB,8457.596065,8.5 µs,104263.166005,104.3 µs,0.965333,47.0187,0.0326667,51.976,48.024
40,4096,mmap,1,randrw,64,ssd,0,256M,268435456,1228987779,1.1 GB,1228438795,1.1 GB,94785.3591,94.8 µs,94196.199316,94.2 µs,1.33538,9.68231,36.1669,52.8085,47.1915
41,4096,mmap,1,randrw,64,zram,0,256M,268435456,4358028692,4.1 GB,4356081976,4.1 GB,13883.987538,13.9 µs,12798.230151,12.8 µs,4.11667,41.35,0.0,54.53,45.47
42,4096,mmap,1,randrw,64,ssd,1,256M,268435456,763042057,727.7 MB,762701209,727.4 MB,145187.315281,145.2 µs,174137.501712,174.1 µs,1.05476,6.84143,39.6924,52.4081,47.5919
43,4096,mmap,1,randrw,64,zram,1,256M,268435456,1083052258,1.0 GB,1082568462,1.0 GB,8269.333355,8.3 µs,99580.981996,99.6 µs,0.983333,46.2653,0.064,52.6747,47.3253
44,4096,mmap,1,randrw,64,ssd,0,32M,33554432,995003308,948.9 MB,994558843,948.5 MB,116049.174178,116.0 µs,115697.025012,115.7 µs,1.23062,8.68937,37.2825,52.7931,47.2069
45,4096,mmap,1,randrw,64,zram,0,32M,33554432,4547157220,4.2 GB,4545126020,4.2 GB,14363.178152,14.4 µs,13036.196647,13.0 µs,4.51333,41.0367,0.0,54.4533,45.5467
46,4096,mmap,1,randrw,64,ssd,1,32M,33554432,763482789,728.1 MB,763141743,727.8 MB,145059.110369,145.1 µs,174001.412263,174.0 µs,0.965,6.65364,38.9541,53.4164,46.5836
47,4096,mmap,1,randrw,64,zram,1,32M,33554432,1120993354,1.0 GB,1120492610,1.0 GB,8287.297619,8.3 µs,98475.863475,98.5 µs,0.965,46.9407,0.0342857,51.975,48.025
48,4096,mmap,1,randrw,64,ssd,0,512M,536870912,1223736443,1.1 GB,1223189804,1.1 GB,95254.755748,95.3 µs,94682.688815,94.7 µs,1.25923,9.60154,36.9115,52.2223,47.7777
49,4096,mmap,1,randrw,64,zram,0,512M,536870912,4753445957,4.4 GB,4751322609,4.4 GB,12812.377588,12.8 µs,11689.340758,11.7 µs,4.63333,40.8467,0.0,54.52,45.48
50,4096,mmap,1,randrw,64,ssd,1,512M,536870912,761993132,726.7 MB,761652752,726.4 MB,143142.334943,143.1 µs,173080.355824,173.1 µs,0.940909,7.09227,37.205,54.7545,45.2455
51,4096,mmap,1,randrw,64,zram,1,512M,536870912,1110345511,1.0 GB,1109849523,1.0 GB,8324.426705,8.3 µs,102077.229199,102.1 µs,0.994,46.2047,0.04,52.7553,47.2447
52,4096,mmap,1,randrw,64,ssd,0,64M,67108864,974243516,929.1 MB,973808324,928.7 MB,118912.736467,118.9 µs,118618.016638,118.6 µs,1.26882,8.71941,37.3106,52.6959,47.3041
53,4096,mmap,1,randrw,64,zram,0,64M,67108864,4415135440,4.1 GB,4413163214,4.1 GB,14924.726192,14.9 µs,13473.492481,13.5 µs,4.46667,40.9933,0.0,54.5367,45.4633
54,4096,mmap,1,randrw,64,ssd,1,64M,67108864,761317936,726.0 MB,760977857,725.7 MB,145077.110187,145.1 µs,174386.387987,174.4 µs,0.906818,6.60455,38.745,53.74,46.26
55,4096,mmap,1,randrw,64,zram,1,64M,67108864,1146956823,1.1 GB,1146444482,1.1 GB,8320.1818,8.3 µs,96826.436548,96.8 µs,0.965,45.5829,0.085,53.3529,46.6471
56,4096,mmap,1,randwrite,64,ssd,0,128M,134217728,0,0.0 B,1732452900,1.6 GB,0.0,0.0 ns,138767.56316,138.8 µs,0.948421,7.47842,37.6137,53.9479,46.0521
