,cbSize,cioengine,ciodepth,crw,cnproc,cdevice,cdirect,cmemlim,cmemlim_bytes,readBW_bytes,readBW,writeBW_bytes,writeBW,avgreadlat_ns,avgreadlat,avgwritelat_ns,avgwritelat,USR_UTIL_perc,SYS_UTIL_perc,IOW_UTIL_perc,IDL_UTIL_perc,CPU_UTIL_perc
0,4096,mmap,1,randread,64,ssd,0,16G,17179869184,2513330288,2.3 GB,0,0.0 B,92741.768303,92.7 µs,0.0,0.0 ns,1.41615,9.04077,37.3946,52.1415,47.8585
1,4096,mmap,1,randread,64,zram,0,16G,17179869184,9985393306,9.3 GB,0,0.0 B,12100.433908,12.1 µs,0.0,0.0 ns,3.15,39.455,0.0,57.395,42.605
2,4096,mmap,1,randread,64,ssd,1,16G,17179869184,2507095101,2.3 GB,0,0.0 B,93228.454742,93.2 µs,0.0,0.0 ns,1.45,9.29538,37.4415,51.81,48.19
3,4096,mmap,1,randread,64,zram,1,16G,17179869184,9648901535,9.0 GB,0,0.0 B,12746.632648,12.7 µs,0.0,0.0 ns,3.89333,41.3133,0.00333333,54.7833,45.2167
4,4096,mmap,1,randread,64,ssd,0,1G,1073741824,2511860396,2.3 GB,0,0.0 B,92788.7395,92.8 µs,0.0,0.0 ns,1.39538,9.09462,37.3938,52.1146,47.8854
5,4096,mmap,1,randread,64,zram,0,1G,1073741824,9552332045,8.9 GB,0,0.0 B,12580.536501,12.6 µs,0.0,0.0 ns,3.96667,41.33,0.0,54.7033,45.2967
6,4096,mmap,1,randread,64,ssd,1,1G,1073741824,2515538353,2.3 GB,0,0.0 B,92943.390971,92.9 µs,0.0,0.0 ns,1.32692,9.20154,37.5615,51.9077,48.0923
7,4096,mmap,1,randread,64,zram,1,1G,1073741824,9686985725,9.0 GB,0,0.0 B,12705.482924,12.7 µs,0.0,0.0 ns,4.33,41.2467,0.0,54.42,45.58
8,4096,mmap,1,randread,64,ssd,0,256M,268435456,2710827484,2.5 GB,0,0.0 B,92718.551274,92.7 µs,0.0,0.0 ns,1.5525,5.81,40.4217,52.21,47.79
9,4096,mmap,1,randread,64,zram,0,256M,268435456,13580924256,12.6 GB,0,0.0 B,12729.0101,12.7 µs,0.0,0.0 ns,6.645,35.92,0.0,57.43,42.57
10,4096,mmap,1,randread,64,ssd,1,256M,268435456,2508193179,2.3 GB,0,0.0 B,92766.579126,92.8 µs,0.0,0.0 ns,1.34538,9.20231,37.4292,52.02,47.98
11,4096,mmap,1,randread,64,zram,1,256M,268435456,9638075278,9.0 GB,0,0.0 B,12839.890451,12.8 µs,0.0,0.0 ns,4.36,40.9367,0.0,54.7033,45.2967
12,4096,mmap,1,randread,64,ssd,0,2G,2147483648,2514065878,2.3 GB,0,0.0 B,92638.165175,92.6 µs,0.0,0.0 ns,1.44615,9.15,37.5415,51.86,48.14
13,4096,mmap,1,randread,64,zram,0,2G,2147483648,9686985725,9.0 GB,0,0.0 B,12563.487538,12.6 µs,0.0,0.0 ns,3.94667,41.1733,0.00333333,54.8733,45.1267
14,4096,mmap,1,randread,64,ssd,1,2G,2147483648,2511676781,2.3 GB,0,0.0 B,93041.79638,93.0 µs,0.0,0.0 ns,1.22615,9.18,37.4823,52.1085,47.8915
15,4096,mmap,1,randread,64,zram,1,2G,2147483648,9531134082,8.9 GB,0,0.0 B,12714.351044,12.7 µs,0.0,0.0 ns,4.31667,40.9967,0.0,54.6867,45.3133
16,4096,mmap,1,randread,64,ssd,0,32G,34359738368,2508925766,2.3 GB,0,0.0 B,92650.510432,92.7 µs,0.0,0.0 ns,1.41154,9.16154,37.4177,52.0015,47.9985
