zram0,TOTAL_READS(KB),243796352
zram0,TOTAL_WRITES(KB),210257204
zram0,TOTAL_READS(MB),238082
zram0,TOTAL_WRITES(MB),205329
zram0,TOTAL_READS(GB),232
zram0,TOTAL_WRITES(GB),200
,
nvme0n1,TOTAL_READS(KB),0
nvme0n1,TOTAL_WRITES(KB),0
nvme0n1,TOTAL_READS(MB),0
nvme0n1,TOTAL_WRITES(MB),0
nvme0n1,TOTAL_READS(GB),0
nvme0n1,TOTAL_WRITES(GB),0
,
zram0,rMB/s,0
zram0,wMB/s,0.248062
zram0,AVGRQ-SZ,135812
zram0,AVGQU-SZ,530.515
zram0,DEV_UTIL,0
,
nvme0n1,rMB/s,
nvme0n1,wMB/s,
nvme0n1,AVGRQ-SZ,
nvme0n1,AVGQU-SZ,
nvme0n1,DEV_UTIL,
,
