,cbSize,cioengine,ciodepth,crw,cnproc,cdevice,cdirect,cmemlim,readBW_bytes,readBW,writeBW_bytes,writeBW,avgreadlat_ns,avgreadlat,avgwritelat_ns,avgwritelat,USR_UTIL(%),SYS_UTIL(%),IOW_UTIL(%),IDL_UTIL(%),CPU_UTIL(%)
33,4096,mmap,1,randread,64,zram,1,none,16161683145,15.1 GB,0,0.0 B,12801.565495,12.8 µs,0.0,0.0 ns,11.87,25.48,0.0,62.63,37.37
34,4096,sync,1,randread,64,ssd,1,none,2914311990,2.7 GB,0,0.0 B,88780.476496,88.8 µs,0.0,0.0 ns,1.47182,2.16636,44.0255,52.3345,47.6655
35,4096,sync,1,randread,64,zram,1,none,30733218576,28.6 GB,0,0.0 B,5810.965826,5.8 µs,0.0,0.0 ns,,,,,
36,4096,io_uring,128,randrw,1,ssd,1,none,486092771,463.6 MB,485894170,463.4 MB,593710.021519,593.7 µs,483715.678982,483.7 µs,0.373529,0.740294,0.00941176,98.8471,1.15294
37,4096,io_uring,128,randrw,1,zram,1,none,337498123,321.9 MB,337360233,321.7 MB,755119.896883,755.1 µs,797835.732903,797.8 µs,0.2374,1.1928,0.4228,98.0232,1.9768
38,4096,io_uring,64,randrw,1,ssd,1,none,490141464,467.4 MB,489941209,467.2 MB,318539.790249,318.5 µs,215080.465085,215.1 µs,0.304706,0.732059,0.00852941,98.9491,1.05088
39,4096,io_uring,64,randrw,1,zram,1,none,386647303,368.7 MB,386489332,368.6 MB,99197.09977,99.2 µs,578234.2753,578.2 µs,0.260465,1.42488,0.375349,97.8156,2.18442
40,4096,libaio,128,randrw,1,ssd,1,none,458773980,437.5 MB,458586541,437.3 MB,623592.905832,623.6 µs,518112.725795,518.1 µs,0.341944,0.698056,0.000555556,98.9517,1.04833
41,4096,libaio,128,randrw,1,zram,1,none,287217802,273.9 MB,287100454,273.8 MB,908751.56877,908.8 µs,916243.099625,916.2 µs,0.199492,0.799661,0.000169492,99.0014,0.998644
42,4096,libaio,64,randrw,1,ssd,1,none,383608953,365.8 MB,383452223,365.7 MB,334996.36279,335.0 µs,236950.696822,237.0 µs,0.286818,0.738409,0.000227273,98.965,1.035
